Domain,IP,Status
130-199-251-20.nat.bnl.gov,130.199.251.20,Active
130-199-251-20.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-20.nat.bnl.icu,"8.218.208.240, 47.91.170.222, 47.76.127.217",Active
130-199-251-20.nat.bnl.net,64.237.52.187,Active
130-199-251-20.nat.bnl.us,103.224.182.238,Active
130-199-251-20.nat.bnl.in,86.111.242.221,Active
130-199-251-20.nat.bnl.cn,170.33.12.185,Active
130-199-251-20.nat.bnl.ru,45.130.41.107,Active
130-199-251-21.nat.bnl.gov,130.199.251.21,Active
130-199-251-22.nat.bnl.gov,130.199.251.22,Active
130-199-251-3.nat.bnl.de,103.224.182.245,Active
130-199-251-3.nat.bnl.gov,130.199.251.3,Active
130-199-251-20.nat.bnl.de,103.224.182.245,Active
130-199-251-3.nat.bnl.net,64.237.52.187,Active
130-199-251-3.nat.bnl.cn,170.33.12.185,Active
130-199-251-3.nat.bnl.icu,"47.91.170.222, 47.76.127.217, 8.218.208.240",Active
130-199-251-3.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-3.nat.bnl.in,86.111.242.221,Active
130-199-251-3.nat.bnl.us,103.224.182.238,Active
130-199-251-3.nat.bnl.ru,45.130.41.107,Active
130-199-251-4.nat.bnl.gov,130.199.251.4,Active
130-199-251-4.nat.bnl.de,103.224.182.245,Active
130-199-251-4.nat.bnl.net,64.237.52.187,Active
130-199-251-4.nat.bnl.cn,170.33.12.185,Active
130-199-251-4.nat.bnl.icu,"47.91.170.222, 8.218.208.240, 47.76.127.217",Active
130-199-251-4.nat.bnl.uk,"13.248.169.48, 76.223.54.146",Active
130-199-251-4.nat.bnl.in,86.111.242.221,Active
130-199-251-4.nat.bnl.us,103.224.182.238,Active
130-199-251-4.nat.bnl.ru,45.130.41.107,Active
130-199-251-5.nat.bnl.net,64.237.52.187,Active
130-199-251-5.nat.bnl.gov,130.199.251.5,Active
130-199-251-5.nat.bnl.de,103.224.182.245,Active
130-199-251-5.nat.bnl.cn,170.33.12.185,Active
130-199-251-5.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-5.nat.bnl.icu,"47.76.127.217, 47.91.170.222, 8.218.208.240",Active
130-199-251-5.nat.bnl.us,103.224.182.238,Active
130-199-251-5.nat.bnl.in,86.111.242.221,Active
130-199-251-5.nat.bnl.ru,45.130.41.107,Active
130-199-251-6.nat.bnl.gov,130.199.251.6,Active
