domain,url,status
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/adminpanel,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/login,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/user/login,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/wp-admin,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/cpanel,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/manage,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/admin.php,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/login.php,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/admin/login.php,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/dashboard,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/admin_area,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/backend,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/moderator,Status: 200
https://chat.sdcc.bnl.gov,https://chat.sdcc.bnl.gov/admin_console,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/admin,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/administrator,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/admin/login,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/adminpanel,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/login,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/user/login,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/wp-admin,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/cpanel,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/manage,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/admin.php,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/login.php,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/admin/login.php,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/dashboard,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/admin_area,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/backend,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/moderator,Status: 200
http://chat.sdcc.bnl.gov,http://chat.sdcc.bnl.gov/admin_console,Status: 200
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/admin,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/administrator,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/admin/login,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/adminpanel,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/login,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/user/login,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/wp-admin,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/cpanel,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/manage,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/admin.php,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/login.php,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/admin/login.php,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/dashboard,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/admin_area,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/backend,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/moderator,Status: 401
https://dcbldoor.sdcc.bnl.gov,https://dcbldoor.sdcc.bnl.gov/admin_console,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/admin,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/administrator,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/admin/login,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/adminpanel,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/login,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/user/login,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/wp-admin,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/cpanel,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/manage,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/admin.php,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/login.php,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/admin/login.php,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/dashboard,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/admin_area,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/backend,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/moderator,Status: 401
https://dcbldoor03.sdcc.bnl.gov,https://dcbldoor03.sdcc.bnl.gov/admin_console,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/admin,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/administrator,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/admin/login,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/adminpanel,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/login,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/user/login,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/wp-admin,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/cpanel,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/manage,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/admin.php,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/login.php,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/admin/login.php,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/dashboard,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/admin_area,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/backend,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/moderator,Status: 401
https://dcbldoor04.sdcc.bnl.gov,https://dcbldoor04.sdcc.bnl.gov/admin_console,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/admin,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/administrator,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/admin/login,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/adminpanel,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/login,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/user/login,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/wp-admin,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/cpanel,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/manage,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/admin.php,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/login.php,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/admin/login.php,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/dashboard,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/admin_area,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/backend,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/moderator,Status: 401
https://dcbldoor05.sdcc.bnl.gov,https://dcbldoor05.sdcc.bnl.gov/admin_console,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/admin,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/administrator,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/admin/login,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/adminpanel,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/login,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/user/login,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/wp-admin,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/cpanel,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/manage,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/admin.php,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/login.php,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/admin/login.php,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/dashboard,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/admin_area,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/backend,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/moderator,Status: 401
https://dcdndoor.sdcc.bnl.gov,https://dcdndoor.sdcc.bnl.gov/admin_console,Status: 401
https://dcdndoor02.sdcc.bnl.gov,https://dcdndoor02.sdcc.bnl.gov/admin,Status: 401
https://dcdndoor02.sdcc.bnl.gov,https://dcdndoor02.sdcc.bnl.gov/administrator,Status: 401
https://dcdndoor02.sdcc.bnl.gov,https://dcdndoor02.sdcc.bnl.gov/admin/login,Status: 401
https://dcdndoor02.sdcc.bnl.gov,https://dcdndoor02.sdcc.bnl.gov/adminpanel,Status: 401
https://dcdndoor02.sdcc.bnl.gov,https://dcdndoor02.sdcc.bnl.gov/login,Status: 401
https://dcdndoor02.sdcc.bnl.gov,https://dcdndoor02.sdcc.bnl.gov/user/login,Status: 401
https://dcdndoor02.sdcc.bnl.gov,https://dcdndoor02.sdcc.bnl.gov/wp-admin,Status: 401
