domain,spf_status,spf_record,dmarc_status,dmarc_record,dkim_status,dkim_selectors,dkim_records
130-199-251-17.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-16.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-3.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-21.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-3.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-4.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-3.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-3.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-4.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-5.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-4.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-4.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-5.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-5.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-5.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-3.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-6.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-5.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-3.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-6.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-6.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-3.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-6.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-7.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-7.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-4.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-22.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-3.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-6.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-8.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-7.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-7.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-3.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-8.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-4.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-8.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-8.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-8.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-9.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-9.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-4.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-4.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-4.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-6.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-5.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-5.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-9.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-5.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
