domain,spf_status,spf_record,dmarc_status,dmarc_record,dkim_status,dkim_selectors,dkim_records
bnlbox04.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
bnlbox05-vrrp.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
bnlbox05.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
bogus.s154.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
bnlbox02.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
bnlbox05-vrrp.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
bnlbox07.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
bnlbox06.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
bnlbox08.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
bnlbox05-vrrp.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
bnlbox08.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
bogus.s154.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
bogus.s154.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
bogus.s154.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
bnlbox07.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
brahms-db0.rcf.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
bnlbox05.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
bnlbox06.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
brahms-db0.rcf.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
bnlbox05.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
brahms-db0.rcf.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
bnlbox08.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
brahms-db0.rcf.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
bnlbox06.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
c-adweb.c-ad.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
c-adweb.c-ad.bnl.gov,valid,v=spf1 include:bnl.gov ?all,missing or invalid,,no valid records,,
bogus.s154.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
bnlbox07.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
bnlbox06.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
bnlbox07.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
c-adweb.c-ad.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cache.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
bnlbox07.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
c-adweb.c-ad.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cache.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
bogus.s154.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
c-adweb.c-ad.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cache.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cache.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cache1.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cache.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
brahms-db0.rcf.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
bnlbox08.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cache1.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cache3.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
bnlbox08.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cache1.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
bnlbox08.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
bogus.s154.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cache1.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
bogus.s154.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
brahms-db0.rcf.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cache1.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
c-adweb.c-ad.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cache3.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
brahms-db0.rcf.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cache5.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cache3.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cache.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cache5.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cache3.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
bogus.s154.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cache3.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
brahms-db0.rcf.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cache5.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cache5.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cadvendor.cad.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
c-adweb.c-ad.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cache1.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cadvendor.cad.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cadvendor.cad.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cache.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cache3.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cadvendor.cad.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cadweb.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cache.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cache1.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
c-adweb.c-ad.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cache1.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cadweb.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
c-adweb.c-ad.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cadweb.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cadweb.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cache.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
captive-portal-dl1.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cache5.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cadvendor.cad.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cadweb.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
captive-portal-dl1.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cache1.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cache5.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
captive-portal-dl1.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cdbweb.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
captive-portal-dl1.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cdbweb.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cache3.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
brahms-db0.rcf.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cache3.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cache5.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
captive-portal-dl1.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cache5.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cdbweb.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cephs3.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cdbweb.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cdbweb.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cephs3.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cadvendor.cad.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cadweb.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cephs3.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cache3.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cephs3.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
captive-portal-dl1.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cache5.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cephs301.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cadvendor.cad.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cadvendor.cad.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cephs3.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cephs301.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cephs301.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cephs301.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cephs301.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cadweb.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cephs302.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cadvendor.cad.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cephs303.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cdbweb.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cadweb.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cephs303.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cephs3.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cephs303.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cftp.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cdbweb.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cephs303.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cftp.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cdbweb.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cephs303.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cdbweb.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
captive-portal-dl1.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cadweb.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cftp.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cephs301.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cftp01.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cftp01.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cftp.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cephs3.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cftp.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cftp01.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
captive-portal-dl1.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cftp02.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cftp01.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cftp02.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cephs3.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
captive-portal-dl1.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cftp02.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cftp01.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cephs3.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cgoat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cftp02.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cephs301.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cephs301.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cephs301.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cephs303.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cftp02.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cftp.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cgoat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
chat.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cgoat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cgoat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cephs303.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cephs303.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
chat.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cephs303.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cftp.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cftp.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cftp01.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cftp.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
chemfo.chm.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cgoat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
chat.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cftp02.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
chat.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
chemfo.chm.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
chat.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cftp01.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
chemfo.chm.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
chemfo.chm.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cftp01.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cftp01.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
class-dev.itd.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
chemfo.chm.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
class-dev.itd.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
class-dev.itd.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
class-dev.itd.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
class-git.itd.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cgoat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
chat.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
cftp02.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
class-git.itd.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
class-dev.itd.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cftp02.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
clearpass.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
class-git.itd.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
class-git.itd.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
class-git.itd.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cftp02.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
clearpass.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cgoat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
clearpass.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cgoat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
chat.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
chemfo.chm.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
clearpass1.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
class-dev.itd.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
clearpass1.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
chat.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
class-git.itd.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
clearpass2.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
clearpass1.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
clearpass1.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
clearpass1.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
chemfo.chm.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
class-dev.itd.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
class-dev.itd.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
cgoat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
clearpass2.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
clearpass.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
clearpass2.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
class-git.itd.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
clearpass.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
clearpass2.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
class-git.itd.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cm.faster.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
chat.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
clearpass1.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
class-git.itd.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
cm.faster.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
clearpass.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
cm.faster.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
clearpass.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
comanage-dev.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
cm.faster.bnl.gov,valid,v=spf1 include:bnl.gov ?all,missing or invalid,,no valid records,,
comanage-dev.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
class-dev.itd.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
comanage-dev.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
comanage-dev.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
clearpass2.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
chemfo.chm.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
clearpass1.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
clearpass.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
comanage.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
comanage-dev.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
chemfo.chm.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
comanage.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
cm.faster.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
clearpass2.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
comanage.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
cm.faster.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
comanage.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
commserveprod.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
clearpass.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
clearpass1.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
cm.faster.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
clearpass2.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
commserveprod.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
commserveprod.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
clearpass2.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
commvault1.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
comanage-dev.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
comanage.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
commvault1.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
commvault1.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
commvault1.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
comanage-dev.sdcc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
clearpass2.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
